PLAZA CODE,PLAZA NAME,CONCESSIONAIRE TYPE,PLAZA SUB TYPE,STATE,CITY,LATITUDE,LONGITUDE
15003,Chillakallu Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Krishna,16.885015,80.160654
48001,Sullurpet Plaza (NH-16) Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Nellore,13.744936,79.990993
48002,Budhanam (NH-16) Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Nellore,14.059589,79.894624
48003,Nellore Plaza (NH- 16) Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Nellore,14.312218,79.916296
48004,Keesara  Plaza (NH-65) Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Vijayawada,16.718077,80.324314
49001,Kaza Toll Plaza Mangalgiri,Conc.,NATIONAL,Andhra Pradesh,Guntur,16.3856,80.53367
63101,Karapadu Toll Plaza,TOT,NATIONAL,Andhra Pradesh,Ichchapuram,19.111282,84.699281
69001,Vempadu Toll Plaza,TOT,NATIONAL,Andhra Pradesh,Visakhapatnam,17.397831,82.67582
70001,Krishnavaram Toll Plaza,TOT,NATIONAL,Andhra Pradesh,East Godavari,17.215448,82.1107
73001,Bollapalli Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Prakasam,15.886754,80.070843
73002,Tangatur Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Prakasam,15.358166,80.040105
73003,Musunur Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Nellore,14.851945,79.987847
212001,Laxmipuram Toll Plaza,TOT,NATIONAL,Andhra Pradesh,Srikakulam,18.733529,84.389803
234002,Chagalmarri Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Kurnool,14.979577,78.574764
239300,Unguturu Toll Plaza,TOT,NATIONAL,Andhra Pradesh,West Godavari,16.823733,81.430668
239301,Eethakota Toll Plaza,TOT,NATIONAL,Andhra Pradesh,East Godavari,16.715212,81.82786
340065,Mopidevi Toll Plaza,PF,NATIONAL,Andhra Pradesh,Mopidevi,16.054778,80.914134
350046,Mudiveedu Toll Plaza,PF,NATIONAL,Andhra Pradesh,Madanapalle,13.698528,78.518474
352001,Nannur Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Kurnool,15.7406107,78.0705331
352013,Chapirevula Toll Plaza,Conc.,NATIONAL,Andhra Pradesh,Nandyal,15.460198,78.451697
352020,Mahasamudram Toll Plaza,PF,NATIONAL,Andhra Pradesh,Mahasamund,13.194889,79.017469
352022,Nathavalasa Toll Plaza,PF,NATIONAL,Andhra Pradesh,Vizianagar,18.057967,83.521081
352023,S.V Puram Toll Plaza,PF,NATIONAL,Andhra Pradesh,Chittoor,13.525577,79.532925
352024,Marur Toll Plaza,PF,NATIONAL,Andhra Pradesh,Anantapur,14.5020891,77.6312667
352025,Kasepalli Toll Plaza,PF,NATIONAL,Andhra Pradesh,Anantapur,15.061754,77.630328
352026,Amakthadu Toll Plaza,PF,NATIONAL,Andhra Pradesh,Kurnool,15.486433,77.901078
352027,Kalaparru Toll Plaza,PF,NATIONAL,Andhra Pradesh,West Godavari,16.676408,81.022129
352028,Agnampadi Toll Plaza,PF,NATIONAL,Andhra Pradesh,Visakhapatnam,17.685435,83.149931
352030,Madapam Toll Plaza,PF,NATIONAL,Andhra Pradesh,Srikakulam,18.377344,84.000528
352031,Badava Toll Plaza,PF,NATIONAL,Andhra Pradesh,Mylavaram,16.8503326,80.6335241
